chunk_id,section_title,page_start,page_end,chunk_index_in_section,text_preview
ga_2023_0001,Purpose of Graduate Assistantships,3,3,1,"Graduate programs, departments, and eligible administrative units are designed to provide the opportunity for graduate students to make the transition to profes..."
ga_2023_0002,Purpose of Graduate Assistantships,3,3,2,"primarily students, not employees; successful completion of the academic program is the top priority for both the student and the institution. • Assistantships ..."
ga_2023_0003,Types of Graduate Assistantships,4,4,1,There are two types of graduate assistantships: Graduate Assistant – Non Teaching (GANT) and Graduate Assistant – Teaching (GAT). Funding sources include but ar...
ga_2023_0004,Types of Graduate Assistantships,4,4,2,"credits in the field they will be teaching), participating in professional development and in-service training, and assisting the Division with other duties as ..."
ga_2023_0005,Pursuing a Graduate Assistantship Position,5,5,1,Graduate students who are seeking a graduate assistantship position are encouraged contact the Office of Graduate Studies....
ga_2023_0006,Qualifications,5,6,1,"All GAs must hold bachelor's degrees or the equivalent, be admitted in a graduate degree program, and be in good academic standing (33.99.08.01.01) Student Empl..."
ga_2023_0007,Qualifications,5,6,2,have shown superior aptitude in their fields of study and who render a high quality of service to the university by their teaching or research activities or the...
ga_2023_0008,Responsibilities of Graduate Assistants,7,7,1,A fundamental responsibility of all graduate assistants is to work closely with their supervisors in carrying out assigned duties while at the same time making ...
ga_2023_0009,Responsibilities of Graduate Assistants,7,7,2,"also undergo a period of orientation prior to beginning work. All employees of TAMUSA, including GAs, have the right to file a grievance and/or complaint regard..."
ga_2023_0010,Enrollment Requirement,7,7,1,Graduate assistants are expected to make steady progress toward the completion of an advanced degree and meet minimum enrollment requirements. Graduate students...
ga_2023_0011,Work Assignment,8,8,1,Graduate assistants are required to work 20 hours per week (33.99.08.01) Student Employment. The exact days and hours may vary and should be decided in coordina...
ga_2023_0012,Professional Ethics,8,8,1,Graduate Assistants are expected to support and maintain an academic environment conducive to the positive educational development of all students and faculty m...
ga_2023_0013,Personal Relationships with Students,9,9,1,Relationships between GAs and students that go beyond the platonic must be avoided. It is never appropriate for a GA to enter a sexual relationship with one of ...
ga_2023_0014,"Sexual Harassment, Harassment, and Discrimination",9,9,1,Texas A&M University-San Antonio and the Texas A&M University System (TAMUS) are committed to creating and maintaining a work and educational environment where ...
ga_2023_0015,"Vacation, Holiday, and Sick Leave Time",10,10,1,"Graduate assistantships, like other student employee appointments, are considered to be “at will” temporary appointments and do not qualify for vacation, sick l..."
ga_2023_0016,Group Insurance,10,10,1,Graduate students who work at least 50% time for 4½ months are eligible to participate in Administration of Employee Benefit Programs (tamus.edu). Graduate assi...
ga_2023_0017,Out-of-State Tuition Waivers,11,11,1,Graduate Assistants employed 50% FTE and their spouse and children who are not Texas residents may qualify for in-state tuition waivers per Texas Education Code...
ga_2023_0018,International Graduate Assistants,11,11,1,International students will be offered employment in accordance with Texas A&M University System (System) Regulation 33.99.09 - Employment of Foreign Nationals ...
ga_2023_0019,Hiring Department Responsibilities,11,13,1,"Administrative responsibility for graduate assistantships rests within the department in which 11 the student is employed, in consultation with all other releva..."
ga_2023_0020,Hiring Department Responsibilities,11,13,2,"university training requirements within 30 days of hire (i.e., Ethics, Information Security Awareness, Orientation to the System, Reporting Fraud, Waste, and Ab..."
ga_2023_0021,Hiring Department Responsibilities,11,13,3,hire orientation for graduate assistants on the same timetable as the new faculty for the new academic year. This will be at the end of July or beginning of Aug...
ga_2023_0022,Hiring Department Responsibilities,11,13,4,before pay date. • Bi-weekly payroll generally closes 3 calendar days before pay date. • Holidays will modify closing dates to an earlier date. This information...
ga_2023_0023,Compensation,14,14,1,Salary ranges for graduate assistants are set by the Office of Graduate Studies. Individual colleges or employing non-academic units will set the exact salary a...
ga_2023_0024,Appointments and Reappointments of Graduate Assistants,14,14,1,Offers of assistantships are contingent upon available funds and admission of the applicant to a graduate program and are made by the head of the unit that will...
ga_2023_0025,Request for Leave,15,15,1,Graduate assistants are paid a salary and therefore required to work a number of hours based on their percent effort. Graduate assistants are not eligible for p...
ga_2023_0026,Training and Support,15,15,1,All new GAs will complete Texas A&M University System mandatory TrainTraq online courses including Title IX training and any safety training required by the cou...
ga_2023_0027,Graduate Assistant Performance Evaluation,16,16,1,Each department is responsible for determining procedures for review and evaluation of GAs and for informing GAs of these procedures. The process of evaluation ...
ga_2023_0028,Graduate Assistant Performance Evaluation,16,16,2,Supervisors who are considering termination of a 16 graduate assistant’s employment before their appointment end date due to performance or policy violation mus...
ga_2023_0029,Enrollment Requirement,17,19,1,"Loss of Funding A graduate assistantship may be terminated due to loss, reduction, or reallocation in appropriation, grant, contract, gift, or other funds which..."
ga_2023_0030,Enrollment Requirement,17,19,2,be immediate or with such notice as the University believes compatible with the GA’s academic situation. An appointment may be terminated for any reason by deli...
ga_2023_0031,Enrollment Requirement,17,19,3,"an overview of benefits, payroll, and mandatory online training requirements. Please bring your identification and social security cards, as they are required f..."
